label,sku,name,category,qty
IR,,,Motion,88
OR,,,Motion,88
2800-0004-0010,2800-0004-0010,M4 x 0.7mm Zinc-Plated Socket Head Screw (10mm Length) - 25 Pack,Fasteners,75
2800-0004-0008,2800-0004-0008,M4 x 0.7mm Zinc-Plated Socket Head Screw (8mm Length) - 25 Pack,Fasteners,48
2824-0001-0021,2824-0001-0021,"E-Clip (mecanum roller pin, internal to 3625 wheels)",Wheels,44
PATCH,,,Fasteners,44
Shim,,,Fasteners,44
Shim,,,Fasteners,44
5103 Gearbox Barrel Screw (M3 x 8mm length Flat Head)_92010A118,,,Fasteners,40
2812-0004-0007,2812-0004-0007,"2812 Series Zinc-Plated Steel Nylock Nut (M4 x 0.7mm, 7mm Hex)",Fasteners,39
2800-0004-0012,2800-0004-0012,M4 x 0.7mm Zinc-Plated Socket Head Screw (12mm Length) - 25 Pack,Fasteners,33
2801-0004-0008,2801-0004-0008,2801 Series Zinc-Plated Steel Washer (4mm ID x 8mm OD),Fasteners,30
Pin (1),,,Fasteners,24
Pin,,,Fasteners,22
Pin,,,Fasteners,22
RollerCore,,,Wheels,22
RollerCore,,,Wheels,22
RollerTire,,,Wheels,22
RollerTire,,,Wheels,22
2800-0004-0020 (BLACK),2800-0004-0020,M4 x 0.7mm Zinc-Plated Socket Head Screw (20mm Length) - 25 Pack,Fasteners,16
2812-0004-0007 (BLACK),2812-0004-0007,"2812 Series Zinc-Plated Steel Nylock Nut (M4 x 0.7mm, 7mm Hex)",Fasteners,16
3618-4008-0016 (Stretched over 8 REX),3618-4008-0016,"Intake Roller Wheel (8mm REX®, 16mm Diameter, 16mm Width, 30A Durometer) - 8 Pack",Wheels,16
2801-0004-0008,2801-0004-0008,2801 Series Zinc-Plated Steel Washer (4mm ID x 8mm OD),Fasteners,12
99461A915_Phillips Rounded Head Thread-Forming Screws (1),,,Fasteners,12
5103 Gearbox Bearing,,,Actuators,10
PATCH,,,Fasteners,10
1201-0043-0002,1201-0043-0002,1201 Series Quad Block Pattern Mount (43-2),Structure,8
1522-0010-0120,1522-0010-0120,"1522 Series 8mm ID Spacer (10mm OD, 12mm Length) - 4 Pack",Structure,8
2800-0004-0006,2800-0004-0006,M4 x 0.7mm Zinc-Plated Socket Head Screw (6mm Length) - 25 Pack,Fasteners,8
2800-0004-0014,2800-0004-0014,M4 x 0.7mm Zinc-Plated Socket Head Screw (14mm Length) - 25 Pack,Fasteners,8
5103 Gearbox Barrel Screw (M3 x 8mm length Flat Head)_92010A118,,,Fasteners,8
Screw,,,Fasteners,8
3613-4008-0048,3613-4008-0048,"GripForce Gecko™ Wheel (8mm REX® Bore, 48mm Diameter, 30A Durometer)",Wheels,7
1205-0001-0005,1205-0001-0005,1205 Series Dual Block Mount (1-5) - 2 Pack,Structure,6
5000-0002-0001 body,5000-0002-0001,5000 Series 12VDC Motor,Actuators,6
5000-0002-0001 motor shaft,5000-0002-0001,5000 Series 12VDC Motor,Actuators,6
5000-0002-0001 motor shield,5000-0002-0001,5000 Series 12VDC Motor,Actuators,6
ID,,,Motion,6
OD,,,Motion,6
Plastic (1),,,Other,6
base,,,Other,6
endcap,,,Other,6
5103 Gearbox Barrel (simple),,,Actuators,5
5103 Gearbox Base,,,Actuators,5
5103 Gearbox Face,,,Actuators,5
5103 Gearbox Shaft (Simple),,,Actuators,5
5103 Gearbox Snap Ring,,,Actuators,5
5203-2402-0019 Label,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,5
1117-0040-0352 (3200-2627-0004_A),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,4
1502-0006-0110,1502-0006-0110,"1502 Series 4mm ID Spacer (6mm OD, 11mm Length) - 4 Pack",Structure,4
2800-0004-0020,2800-0004-0020,M4 x 0.7mm Zinc-Plated Socket Head Screw (20mm Length) - 25 Pack,Fasteners,4
2807-0609-0250,2807-0609-0250,"2807 Series Stainless Steel Shim (6mm ID x 9mm OD, 0.25mm Thickness) - 12 Pack",Fasteners,4
2807-0811-0500,2807-0811-0500,"2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack",Fasteners,4
