sku,name,category,qty,pack_size,packs_to_buy,also_inside_subassemblies,name_source,url
1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,8,1,8,0,gobilda.com,https://www.gobilda.com/clear-polycarbonate-grid-plate-1-5mm-thickness-5-x-44-hole-40-x-352mm/
1201-0043-0002,1201 Series Quad Block Pattern Mount (43-2),Structure,8,1,8,0,gobilda.com,https://www.gobilda.com/1201-series-quad-block-pattern-mount-43-2/
1522-0010-0120,"1522 Series 8mm ID Spacer (10mm OD, 12mm Length) - 4 Pack",Structure,8,4,2,0,gobilda.com,https://www.gobilda.com/1522-series-8mm-id-spacer-10mm-od-12mm-length-4-pack/
1205-0001-0005,1205 Series Dual Block Mount (1-5) - 2 Pack,Structure,6,2,3,0,gobilda.com,https://www.gobilda.com/1205-series-dual-block-mount-1-5-2-pack/
1502-0006-0110,"1502 Series 4mm ID Spacer (6mm OD, 11mm Length) - 4 Pack",Structure,4,4,1,0,gobilda.com,https://www.gobilda.com/1502-series-4mm-id-spacer-6mm-od-11mm-length-4-pack/
1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,3,1,3,0,gobilda.com,https://www.gobilda.com/clear-polycarbonate-grid-plate-1-5mm-thickness-11-x-44-hole-88-x-352mm/
1501-0006-0430,"1501 Series M4 x 0.7mm Standoff (6mm OD, 43mm Length) - 4 Pack",Structure,3,4,1,0,gobilda.com,https://www.gobilda.com/1501-series-m4-x-0-7mm-standoff-6mm-od-43mm-length-4-pack/
1522-0010-0090,"1522 Series 8mm ID Spacer (10mm OD, 9mm Length) - 4 Pack",Structure,3,4,1,0,gobilda.com,https://www.gobilda.com/1522-series-8mm-id-spacer-10mm-od-9mm-length-4-pack/
1120-0001-0048,"1120 Series U-Channel (1 Hole, 48mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1120-series-u-channel-1-hole-48mm-length/
1120-0010-0264,"1120 Series U-Channel (10 Hole, 264mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1120-series-u-channel-10-hole-264mm-length/
1120-0015-0384,"1120 Series U-Channel (15 Hole, 384mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1120-series-u-channel-15-hole-384mm-length/
1121-0001-0048,"1121 Series Low-Side U-Channel (1 Hole, 48mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1121-series-low-side-u-channel-1-hole-48mm-length/
1121-0005-0144,"1121 Series Low-Side U-Channel (5 Hole, 144mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1121-series-low-side-u-channel-5-hole-144mm-length/
1121-0010-0264,"1121 Series Low-Side U-Channel (10 Hole, 264mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1121-series-low-side-u-channel-10-hole-264mm-length/
1143-0003-0096,"1143 Series Mini Low-Side U-Channel (3 Hole, 96mm Length)",Structure,2,1,2,0,gobilda.com,https://www.gobilda.com/1143-series-mini-low-side-u-channel-3-hole-96mm-length/
