label,sku,name,category,qty,type
3618-4008-0016 (Stretched over 8 REX),3618-4008-0016,"Intake Roller Wheel (8mm REX®, 16mm Diameter, 16mm Width, 30A Durometer) - 8 Pack",Wheels,16,part
1201-0043-0002,1201-0043-0002,1201 Series Quad Block Pattern Mount (43-2),Structure,8,part
1522-0010-0120,1522-0010-0120,"1522 Series 8mm ID Spacer (10mm OD, 12mm Length) - 4 Pack",Structure,8,part
3613-4008-0048,3613-4008-0048,"GripForce Gecko™ Wheel (8mm REX® Bore, 48mm Diameter, 30A Durometer)",Wheels,7,part
1205-0001-0005,1205-0001-0005,1205 Series Dual Block Mount (1-5) - 2 Pack,Structure,6,part
1117-0040-0352 (3200-2627-0004_A),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,4,part
1502-0006-0110,1502-0006-0110,"1502 Series 4mm ID Spacer (6mm OD, 11mm Length) - 4 Pack",Structure,4,part
2807-0811-0500,2807-0811-0500,"2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack",Fasteners,4,part
1501-0006-0430,1501-0006-0430,"1501 Series M4 x 0.7mm Standoff (6mm OD, 43mm Length) - 4 Pack",Structure,3,part
1522-0010-0090,1522-0010-0090,"1522 Series 8mm ID Spacer (10mm OD, 9mm Length) - 4 Pack",Structure,3,part
1117-0040-0352 (3200-2627-0004_C),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,2,part
1120-0001-0048,1120-0001-0048,"1120 Series U-Channel (1 Hole, 48mm Length)",Structure,2,part
1120-0010-0264,1120-0010-0264,"1120 Series U-Channel (10 Hole, 264mm Length)",Structure,2,part
1120-0015-0384,1120-0015-0384,"1120 Series U-Channel (15 Hole, 384mm Length)",Structure,2,part
1121-0001-0048,1121-0001-0048,"1121 Series Low-Side U-Channel (1 Hole, 48mm Length)",Structure,2,part
1121-0005-0144,1121-0005-0144,"1121 Series Low-Side U-Channel (5 Hole, 144mm Length)",Structure,2,part
1121-0010-0264,1121-0010-0264,"1121 Series Low-Side U-Channel (10 Hole, 264mm Length)",Structure,2,part
1143-0003-0096,1143-0003-0096,"1143 Series Mini Low-Side U-Channel (3 Hole, 96mm Length)",Structure,2,part
1222-0001-0001,1222-0001-0001,1222 Series Flat Pattern Mount (1-1),Structure,2,part
1516-4008-0430,1516-4008-0430,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 43mm Length) - 4 Pack",Structure,2,part
3613-0014-0072,3613-0014-0072,"GripForce Gecko™ Wheel (14mm Bore, 72mm Diameter, 30A Durometer)",Wheels,2,part
1117-0040-0352 (3200-2627-0004_B),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,1,part
1117-0040-0352 (3200-2627-0004_D),1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,1,part
1117-0088-0352 (3200-2627-0004_E),1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,1,part
1117-0088-0352 (3200-2627-0004_F),1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,1,part
1117-0088-0352 (3200-2627-0004_G),1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,1,part
1117-0216-0352 (3200-2627-0004_H),1117-0216-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 27 x 44 Hole, 216 x 352mm)",Structure,1,part
1120-0002-0072,1120-0002-0072,"1120 Series U-Channel (2 Hole, 72mm Length)",Structure,1,part
1120-0008-0216,1120-0008-0216,"1120 Series U-Channel (8 Hole, 216mm Length)",Structure,1,part
1209-0001-0001 w.Strap w.Hardware,1209-0001-0001,Battery Mount for 12V NiMH Nested Battery,Structure,1,subassembly
1309-0016-4008,1309-0016-4008,1309 Series Sonic Hub (8mm REX® Bore),Motion,1,subassembly
1309-0016-4008,1309-0016-4008,1309 Series Sonic Hub (8mm REX® Bore),Motion,1,subassembly
1309-0016-4008,1309-0016-4008,1309 Series Sonic Hub (8mm REX® Bore),Motion,1,subassembly
1310-0016-4008,1310-0016-4008,1310 Series Hyper Hub (8mm REX® Bore),Motion,1,subassembly
1516-4008-0240,1516-4008-0240,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 24mm Length) - 4 Pack",Structure,1,part
