sku,name,total_in_model,inside_purchased_subassemblies,loose_or_designer_added
2800-0004-0010,M4 x 0.7mm Zinc-Plated Socket Head Screw (10mm Length) - 25 Pack,75,0,75
2812-0004-0007,"2812 Series Zinc-Plated Steel Nylock Nut (M4 x 0.7mm, 7mm Hex)",55,16,39
2800-0004-0008,M4 x 0.7mm Zinc-Plated Socket Head Screw (8mm Length) - 25 Pack,48,28,20
2822-0004-0010,Premium M4 Socket Head Thread-Locking Screw (10mm Length) - 25 Pack,44,0,44
2801-0004-0008,2801 Series Zinc-Plated Steel Washer (4mm ID x 8mm OD),42,12,30
2800-0004-0012,M4 x 0.7mm Zinc-Plated Socket Head Screw (12mm Length) - 25 Pack,33,0,33
2909-0101-0100,"Zip Tie (100mm Length, Black) - 100 Pack",28,0,28
2800-0004-0020,M4 x 0.7mm Zinc-Plated Socket Head Screw (20mm Length) - 25 Pack,20,16,4
2806-0005-0004,"2806 Series Black Oxide Steel Cup-Point Set-Screw (M5 x 0.8mm, 4mm Length) - 25 Pack",10,10,0
2800-0004-0014,M4 x 0.7mm Zinc-Plated Socket Head Screw (14mm Length) - 25 Pack,8,8,0
2800-0004-0006,M4 x 0.7mm Zinc-Plated Socket Head Screw (6mm Length) - 25 Pack,8,0,8
2807-0609-0250,"2807 Series Stainless Steel Shim (6mm ID x 9mm OD, 0.25mm Thickness) - 12 Pack",4,0,4
2807-0811-0500,"2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack",4,0,4
2800-0003-0008,"Zinc-Plated Steel Socket Head Screw (M3 x 0.5mm, 8mm Length) - 6 Pack",3,3,0
2909-0102-0250,goBILDA® Hook & Loop Cinch-Strap (20mm Width x 250mm Length) - 4 Pack,2,1,1
