subassembly,sku,name,instances,depth,contents_per_instance
2320-4008-0024,2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",8,1,2x 2800-0004-0008
1611-0514-4008,1611-0514-4008,"1611 Series Flanged Ball Bearing (8mm REX® ID x 14mm OD, 5mm Thickness) - 2 Pack",6,1,1x OD; 1x ID
5203-2402-0019,5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",5,1,1x 5103-0024-0019; 1x 5000-0002-0001 Motor; 1x 5203-2402-0019 Label
1611-0514-0006,1611-0514-0006,"1611 Series Flanged Ball Bearing (6mm ID x 14mm OD, 5mm Thickness) - 2 Pack",4,1,1x OR; 1x IR
1611-0514-0008,1611-0514-0008,"1611 Series Flanged Ball Bearing (8mm ID x 14mm OD, 5mm Thickness) - 2 Pack",4,1,1x OR; 1x IR
2110-0608-0002 w.Hardware (A),2110-0608-0002,Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset),4,1,1x 2807-0609-0250; 1x 2801-0004-0008; 1x 2800-0004-0010
2920-0001-4008,2920-0001-4008,2920 Series Steel Set-Screw Collar (8mm REX® Bore) - 2 Pack,4,1,2x 2806-0005-0004
1309-0016-4008,1309-0016-4008,1309 Series Sonic Hub (8mm REX® Bore),3,1,2x 2800-0004-0014
3217-0001-2501 w.Hardware (2.6),3217-0001-2501,"Compact ServoBlock® (43mm Width, For Standard Size H25T Spline Servo, Hub-Shaft)",3,1,4x 2801-0004-0008; 4x 2800-0004-0008; 1x 1805-0043-0001; 1x 1600-0412-0008 (For Servoblock); 1x 1910-0025-0812; 1x 2800-0003-0008
2000-0025-0003,2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",2,1,1x 2000 Series Servo; 1x H25T Spline; 1x Labels
2106-4008-0800,2106-4008-0800,"8mm REX® Shaft with E-Clip (Stainless Steel, 80mm Length)",2,1,1x 2824-0001-0060
3625-0001-0104,3625-0001-0104,"GripForce™ Mecanum Wheel (Ø104mm, 40A, one of the four in set 3625-0202-0104)",2,1,2x PLATE; 1x Core; 1x ROLLERS; 1x HARDWARE
3625-0100-0104,3625-0100-0104,"GripForce™ Mecanum Wheel (Ø104mm, 40A, one of the four in set 3625-0202-0104)",2,1,2x PLATE; 1x Core; 1x ROLLERS; 1x HARDWARE
1209-0001-0001 w.Strap w.Hardware,1209-0001-0001,Battery Mount for 12V NiMH Nested Battery,1,1,4x 2800-0004-0010; 4x 2812-0004-0007; 1x 2909-0102-0250 (Installed_1209-0001-0001)
1310-0016-4008,1310-0016-4008,1310 Series Hyper Hub (8mm REX® Bore),1,1,2x 2800-0004-0014
2000-0025-0002,2000-0025-0002,"2000 Series Dual Mode Servo (25-2, Torque)",1,1,1x 2000 Series Servo; 1x H25T Spline; 1x Labels
2106-4008-2400,2106-4008-2400,"8mm REX® Shaft with E-Clip (Stainless Steel, 240mm Length)",1,1,1x 2824-0001-0060
2106-4008-2640,2106-4008-2640,"8mm REX® Shaft with E-Clip (Stainless Steel, 264mm Length)",1,1,1x 2824-0001-0060
2303-4008-0020,2303-4008-0020,"2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX® Bore, 20 Tooth)",1,1,2x 2806-0005-0004
5203-2402-0051,5203-2402-0051,"5203 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX® Shaft, 117 RPM, 3.3 - 5V Encoder)",1,1,1x 5103-0024-0051; 1x 5000-0002-0001 Motor; 1x 5203-2402-0051 Label
Zip Ties,,,1,1,4x 2909-0101-0100 (3200-2627-0004_A); 4x 2909-0101-0100 (3200-2627-0004_D); 2x 2909-0101-0100 (3200-2627-0004_E); 2x 2909-0101-0100 (3200-2627-0004_Q); 1x 2909-0101-0100 (3200-2627-0004_B); 1x 2909-0101-0100 (3200-2627-0004_C); 1x 2909-0101-0100 (3200-2627-0004_F); 1x 2909-0101-0100 (3200-2627-0004_G); 1x 2909-0101-0100 (3200-2627-0004_H0); 1x 2909-0101-0100 (3200-2627-0004_H1); 1x 2909-0101-0100 (3200-2627-0004_I); 1x 2909-0101-0100 (3200-2627-0004_J); 1x 2909-0101-0100 (3200-2627-0004_K); 1x 2909-0101-0100 (3200-2627-0004_L); 1x 2909-0101-0100 (3200-2627-0004_M); 1x 2909-0101-0100 (3200-2627-0004_N); 1x 2909-0101-0100 (3200-2627-0004_O); 1x 2909-0101-0100 (3200-2627-0004_P); 1x 2909-0101-0100 (3200-2627-0004_R); 1x 2909-0101-0100 (3200-2627-0004_S)
2822-0004-0010,2822-0004-0010,Premium M4 Socket Head Thread-Locking Screw (10mm Length) - 25 Pack,44,2,1x PATCH
2806-0005-0004,2806-0005-0004,"2806 Series Black Oxide Steel Cup-Point Set-Screw (M5 x 0.8mm, 4mm Length) - 25 Pack",10,2,1x PATCH
5000-0002-0001 Motor,5000-0002-0001,5000 Series 12VDC Motor,6,2,1x 5000-0002-0001 body; 1x 5000-0002-0001 motor shield; 1x 5000-0002-0001 encoder cap; 1x 5000-0002-0001 motor shaft
5103-0024-0019,5103-0024-0019,"5103 Series Planetary Gearbox (19.2:1 Ratio, 24mm Length 8mm REX® Shaft)",5,2,8x 5103 Gearbox Barrel Screw (M3 x 8mm length Flat Head)_92010A118; 2x 5103 Gearbox Bearing; 1x 5103 Gearbox Base; 1x 5103 Gearbox Barrel (simple); 1x 5103 Gearbox Face; 1x 5103 Gearbox Shaft (Simple); 1x 5103 Gearbox Snap Ring
HARDWARE,,,4,2,4x 2800-0004-0020 (BLACK); 4x 2812-0004-0007 (BLACK)
ROLLERS,,,4,2,11x ROLLER
1600-0412-0008 (For Servoblock),1600-0412-0008,"1600 Series Ball Bearing (4mm ID x 12mm OD, internal to ServoBlock)",3,2,1x IR; 1x OR
2000 Series Servo,,,3,2,4x Screw; 1x Topcase; 1x Midcase; 1x Botcase; 1x Wire Seal
Labels,,,3,2,1x 2000-0025-0003 Side Label; 1x 2000-0025-0003 Top Label
2909-0102-0250 (Installed_1209-0001-0001),2909-0102-0250,goBILDA® Hook & Loop Cinch-Strap (20mm Width x 250mm Length) - 4 Pack,1,2,1x Strap (Installed); 1x 2909-0102-0250-Loop
5103-0024-0051,5103-0024-0051,"5103 Series Planetary Gearbox (50.9:1 Ratio, 24mm Length 8mm REX® Shaft)",1,2,8x 5103 Gearbox Barrel Screw (M3 x 8mm length Flat Head)_92010A118; 2x 5103 Gearbox Bearing; 1x 5103 Gearbox Base; 1x 5103 Gearbox Barrel (simple); 1x 5103 Gearbox Face; 1x 5103 Gearbox Shaft (Simple); 1x 5103 Gearbox Snap Ring
ROLLER,,,44,3,2x Shim; 2x 1600-0307-0003 (Dont Have); 1x Pin; 1x 2824-0001-0021; 1x RollerCore; 1x RollerTire
5000-0002-0001 encoder cap,5000-0002-0001,5000 Series 12VDC Motor,6,3,2x screw; 1x endcap; 1x JST-XH-4POS-VERT (1); 1x base
Body,,,1,3,1x Topcase; 1x Midcase; 1x Botcase; 1x Hardware; 1x Wire Seal
1600-0307-0003 (Dont Have),1600-0307-0003,"1600 Series Ball Bearing (3mm ID x 7mm OD, internal to mecanum rollers)",88,4,1x OR; 1x IR
screw,,,12,4,1x 99461A915_Phillips Rounded Head Thread-Forming Screws (1)
JST-XH-4POS-VERT (1),,,6,4,4x Pin (1); 1x Plastic (1)
Hardware,,,2,4,4x Screw
